"Kind","Line","Property","Fallback","Code"
"GetPropertyValueWithDefault","12709","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12725","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12740","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12754","ShowFillLevel","false","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowFillLevel"", defaultValue: false);"
"GetPropertyValueWithDefault","12791","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12807","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","13035","DrawInsideFrame","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""DrawInsideFrame"", defaultValue: true);"
"GetPropertyValueWithDefault","13368","UseDesignColorSchema","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","13396","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","13405","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","13414","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","13427","ShowInnerDial","false","if (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowInnerDial"", defaultValue: false) || drawingContextTypeDependingOnCompatibilityMode != DrawingContextType.ExtendedDrawingRenderer)"
"GetPropertyValueWithDefault","13437","ShowInnerDial","false","if (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowInnerDial"", defaultValue: false) || drawingContextTypeDependingOnCompatibilityMode != DrawingContextType.ExtendedDrawingRenderer)"
